CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200825_001_scan049_I	200825_002_scan034_I	200825_003_scan011_I	200825_004_scan015_I	200825_005_scan017_I	200825_006_scan021_I	200825_007_scan021_I	200825_008_scan025_I	200825_009_scan020_I	200825_010_scan016_I	200825_011_scan020_I	200825_012_scan017_I	200825_013_scan013_I	200825_014_scan019_I	200825_015_scan017_I	200825_016_scan015_I	200825_017_scan015_I	200825_018_scan018_I	200825_019_scan022_I	200825_020_scan020_I	200825_021_scan013_I	200825_022_scan014_I	200825_023_scan021_I	200825_024_scan013_I	200825_025_scan014_I	200825_026_scan011_I	200825_027_scan013_I	200825_028_scan019_I	200825_029_scan019_I
548	378.207	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7981.441139	4724.422233	3807.170658	3191.865642	11359.86236	3727.614822	7503.731535	6061.546509	6022.110159	8007.559617	4429.422233	4877.380388	8605.276027	4572.016637	4666.953617	4933.876481	5920.93698	6577.290144	5688.002521	5854.780943	4256.499874	6219.181749	6999.364255	6898.071086	4128.334762	5906.708596	4247.256869	3473.101084	4881.573481
549	378.215	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7755.280313	4083.396773	4233.904462	3070.295689	9896.435594	4582.931182	6030.827073	6629.987648	4571.342072	7494.209478	6262.473406	5013.192841	8757.22914	6302.46181	3876.247542	5093.094278	5639.080161	6919.042349	5419.585833	7665.786236	6899.82304	8178.669019	6236.157802	5273.08369	4527.373078	4538.914545	5034.882027	3058.59516	6354.815226
550	378.239	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10493.90547	6392.123015	4973.924124	6832.745904	15061.42249	7795.875977	10994.57323	11452.35291	7346.81699	13464.68742	10509.16688	10047.27451	11527.68288	11702.42728	9247.418704	9208.239224	10227.37207	8271.053945	12048.10512	10730.03428	9038.601462	12200.91102	8830.488782	11485.15226	9397.083438	8458.773128	8814.199899	5848.264179	9621.033022
551	378.271	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18891.69725	6753.072095	5580.288127	6394.064028	7430.685657	4992.938997	6547.073103	5933.763801	5208.523065	8125.840434	5373.99521	7558.29216	7824.480212	6612.635241	6187.096547	6044.597429	5102.382657	9731.200907	5436.69095	9515.686665	6743.398538	8798.869927	6239.71389	6533.630703	5073.495589	5940.096547	5048.303504	6962.883791	17107.29619
552	378.278	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17966.48124	7738.572536	4546.228364	4211.772636	6116.945723	4301.649075	6070.864932	6399.713607	4609.778389	6731.401951	4780.891696	6272.738369	4351.271636	6176.267884	4929.824662	5189.873937	4675.988244	7941.72011	4966.707104	8802.16033	6681.858179	5980.193847	5668.072286	4809.901951	3926.368684	4250.498999	5104.767384	6358.046023	18851.77564
553	379.228	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15211.71904	8614.944709	5768.497623	7263.778834	15697.38129	9849.691769	11772.43908	11227.18614	9013.52064	17429.79334	7640.988992	11760.3993	16012.7288	11558.49537	9409.261696	9668.423067	10423.07881	9795.383788	9885.474856	12884.88041	9341.417813	16408.64123	11436.71504	12761.6002	7867.201651	9201.260195	9521.03953	6618.954966	11073.33775
554	379.236	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15222.09482	7934.18639	6871.532149	8751.649987	19315.22467	10262.64824	12516.92469	16333.49062	9949.385539	15758.10533	9250.681261	11519.16437	15186.14836	11722.67626	9715.371028	9898.899425	9887.57318	9381.030773	12066.72004	13327.87215	13524.12359	14173.30923	13931.68476	11279.24193	10790.52765	11473.36953	10894.18664	6036.56017	11608.36427
555	379.243	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11762.8019	7447.736868	7382.475238	9535.96048	17075.17059	11125.64032	14188.43222	10650.75238	11033.58079	16318.34117	11729.05753	14583.68434	16119.09455	13497.67084	10951.08854	12608.06753	11954.55728	10990.05753	15611.68334	15959.69235	17324.48424	13878.8014	16288.61581	13183.25913	12340.74187	11968.25713	11951.62731	5851.27914	14106.87044
556	379.252	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13504.5943	7344.164582	7070.675588	9275.451726	15133.35668	10548.52851	14199.42671	10778.53302	12363.67934	15955.07829	13886.50625	13334.02126	14439.65958	13493.28039	11970.2959	14781.06303	16108.24037	13385.56353	18994.61806	16990.08729	19631.22011	19702.35143	13749.14632	16819.44472	13954.93622	10806.69485	15485.29015	4695.894197	10886.75438
557	379.259	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11589.90623	5771.92488	5725.982859	8262.896899	16130.70658	9797.179733	11089.08621	9623.34661	13232.90497	13805.66574	13365.12453	11896.9216	14494.54096	12841.03353	12579.34837	15514.47668	14327.42778	10146.75573	17297.17041	15605.53567	18572.59667	18255.3824	12013.7696	16673.22788	17671.58987	9911.098311	12541.96042	4880.694479	12724.33048
